Estable,Prov_ubi,Cant_ubi,Parr_ubi,Clase,Tipo,Entidad,Sector,Farm,,,idCanton,idParroquia,,,idCanton,idParroquia
503,6,602,60258,20,4,1,1,0,,,02,58,,02,2,58
504,6,607,60754,20,4,1,1,0,,,07,54,,07,7,54
506,6,601,60156,20,4,1,1,0,,,01,56,,01,1,56
507,6,601,60150,25,4,7,1,0,,,01,50,,01,1,50
508,6,601,60150,21,4,1,1,0,,,01,50,,01,1,50
510,6,601,60150,25,4,7,1,0,,,01,50,,01,1,50
511,6,601,60150,25,4,7,1,0,,,01,50,,01,1,50
513,6,602,60250,25,4,6,1,1,,,02,50,,02,2,50
517,6,601,60150,25,4,4,1,0,,,01,50,,01,1,50
518,6,601,60150,25,4,4,1,0,,,01,50,,01,1,50
519,6,601,60150,25,4,7,1,0,,,01,50,,01,1,50
520,6,601,60150,25,4,17,3,0,,,01,50,,01,1,50
521,6,603,60350,25,4,17,3,0,,,03,50,,03,3,50
526,6,601,60150,25,4,7,1,,,,01,50,,01,1,50
528,6,605,60550,25,4,6,1,1,,,05,50,,05,5,50
529,6,601,60150,25,4,4,1,0,,,01,50,,01,1,50
532,7,701,70150,2,1,6,1,1,,,01,50,,01,1,50
533,7,701,70150,2,1,1,1,1,,,01,50,,01,1,50
534,7,709,70950,2,1,3,1,1,,,09,50,,09,9,50
535,7,702,70250,1,5,1,1,0,,,02,50,,02,2,50
537,7,709,70950,1,5,1,1,1,,,09,50,,09,9,50
540,7,710,71050,1,5,1,1,1,,,10,50,,10,10,50
541,7,712,71250,1,5,1,1,1,,,12,50,,12,12,50
542,7,712,71250,4,1,1,1,1,,,12,50,,12,12,50
543,7,713,71350,1,5,1,1,1,,,13,50,,13,13,50
547,7,712,71250,12,3,18,2,0,,,12,50,,12,12,50
551,7,701,70150,12,3,18,2,0,,,01,50,,01,1,50
552,7,701,70150,17,1,18,2,0,,,01,50,,01,1,50
554,7,701,70150,12,3,18,2,0,,,01,50,,01,1,50
555,7,706,70650,2,1,1,1,1,,,06,50,,06,6,50
