110653,Santa Teresita,1106
110654,27 de Abril (Cab. en La Naranja),1106
110655,El Ingenio,1106
110656,El Airo,1106
110699,Sin Especificar,1106
110750,Gonzanamá Cabecera Cantonal,1107
110751,Changaimina (La Libertad),1107
110752,Fundochamba,1107
110753,Nambacola,1107
110754,Purunuma (Eguiguren),1107
110755,Quilanga (La Paz),1107
110756,Sacapalca,1107
110757,San Antonio de las Aradas (Cab. en las Aradas),1107
110799,Sin Especificar,1107
110801,General Eloy Alfaro (San Sebastián),1108
110802,Macará  (Manuel Enrique Rengel Suquilanda),1108
110850,Macará Cabecera Cantonal,1108
110851,Larama,1108
110852,La Victoria,1108
110853,Sabiango (La Capilla),1108
110899,Sin Especificar,1108
110901,Catacocha,1109
110902,Lourdes,1109
110950,Catacocha Cabecera Cantonal,1109
110951,Cangonamá,1109
110952,Guachanamá,1109
110953,La Tingue,1109
110954,Lauro Guerrero,1109
110955,Olmedo (Santa Bárbara),1109
110956,Orianga,1109
110957,San Antonio,1109
110958,Casanga,1109
110959,Yamana,1109
110999,Sin Especificar,1109
111050,Alamor Cabecera Cantonal,1110
111051,Ciano,1110
111052,El Arenal,1110
111053,El Limo (Mariana de Jesús),1110
111054,Mercadillo,1110
111055,Vicentino,1110
111099,Sin Especificar,1110
111150,Saraguro Cabecera Cantonal,1111
111151,El Paraíso de Celén,1111
111152,El Tablón,1111
111153,Lluzhapa,1111
111154,Manú,1111
111155,San Antonio de Qumbe (Cumbe),1111
111156,San Pablo de Tenta,1111
111157,San Sebastián de Yúluc,1111
111158,Selva Alegre,1111
111159,Urdaneta (Paquishapa),1111
111160,Sumaypamba,1111
111199,Sin Especificar,1111
111250,Sozoranga Cabecera Cantonal,1112
111251,Nueva Fátima,1112
111252,Tacamoros,1112
111299,Sin Especificar,1112
111350,Zapotillo Cabecera Cantonal,1113
111351,Mangahurco,1113
111352,Garzareal,1113
111353,Limones,1113
111354,Paletillas,1113
111355,Bolaspamba,1113
111356,Cazaderos,1113
111399,Sin Especificar,1113
111450,Pindal Cabecera Cantonal,1114
111451,Chaquinal,1114
111452,12 de Diciembre (Cab. en Achiotes),1114
111453,Milagros,1114
111499,Sin Especificar,1114
111550,Quilanga Cabecera Cantonal,1115
111551,Fundochamba,1115
111552,San Antonio de Las Aradas (Cab. en Las Aradas),1115
111599,Sin Especificar,1115
111650,Olmedo Cabecera Cantonal,1116
111651,La Tingue,1116
111699,Sin Especificar,1116
120101,Clemente Baquerizo,1201
120102,Dr. Camilo Ponce,1201
120103,Barreiro,1201
120104,El Salto,1201
120150,Babahoyo Cabecera Cantonal y Capital Provincial,1201
120151,Barreiro (Santa Rita),1201
120152,Caracol,1201
120153,Febres Cordero (Las Juntas) (Cab. en Mata de Cacao),1201
120154,Pimocha,1201
120155,La Unión,1201
120199,Sin Especificar,1201
120250,Baba Cabecera Cantonal,1202
120251,Guare,1202
120252,Isla de Bejuca,1202
120299,Sin Especificar,1202
120350,Montalvo Cabecera Cantonal,1203
120351,La Esmeralda,1203
120399,Sin Especificar,1203
120450,Puebloviejo Cabecera Cantonal,1204
120451,Puerto Pechiche,1204
120452,San Juan,1204
120499,Sin Especificar,1204
120501,Quevedo,1205
120502,San Camilo,1205
120503,San José,1205
120504,Guayacán,1205
120505,Nicolás Infante Díaz,1205
120506,San Cristóbal,1205
120507,Siete de Octubre,1205
120508,24 de Mayo,1205
120509,Venus del Río Quevedo,1205
120510,Viva Alfaro,1205
